Question ID,Question Text,Question Type,Options,Correct Answer,Complexity Level
1,What is the capital of France?,objective,"A: Paris, B: London, C: Berlin, D: Madrid",A,Easy
2,JavaScript is a _____ language.,fill_blank,,programming,Easy
3,What does DOM stand for?,objective,"A: Document Object Model, B: Data Object Model, C: Dynamic Object Model, D: Document Oriented Model",A,Moderate
4,React uses _____ to update the UI.,fill_blank,,Virtual DOM,Moderate
5,What is the time complexity of binary search?,objective,"A: O(n), B: O(log n), C: O(nÂ²), D: O(1)",B,Complex
6,Which method is used to add an element to the end of an array in JavaScript?,objective,"A: push(), B: pop(), C: shift(), D: unshift()",A,Easy
7,_____ is used to manage state in React components.,fill_blank,,useState,Easy
8,What is the purpose of useEffect hook in React?,objective,"A: To handle side effects, B: To create components, C: To style components, D: To route pages",A,Moderate
9,What is the output of: console.log(typeof null)?,objective,"A: null, B: undefined, C: object, D: string",C,Moderate
10,The _____ algorithm is used for finding shortest paths in a graph.,fill_blank,,Dijkstra,Complex
11,What is closure in JavaScript?,objective,"A: A function that has access to outer scope variables, B: A way to close files, C: A CSS property, D: A database concept",A,Complex
12,_____ allows components to share data without prop drilling.,fill_blank,,Context API,Moderate
13,Which array method creates a new array with transformed elements?,objective,"A: forEach(), B: map(), C: filter(), D: reduce()",B,Easy
14,What is JSX?,objective,"A: JavaScript XML, B: Java Syntax Extension, C: JSON XML, D: JavaScript Extension",A,Moderate
15,The _____ pattern is used to create objects in JavaScript.,fill_blank,,Factory,Complex
16,Which hook is used for performance optimization in React?,objective,"A: useMemo(), B: useState(), C: useEffect(), D: useContext()",A,Complex
17,What does API stand for?,objective,"A: Application Programming Interface, B: Advanced Programming Interface, C: Application Program Integration, D: Advanced Program Integration",A,Easy
18,_____ is a NoSQL database.,fill_blank,,MongoDB,Easy
19,What is the purpose of Redux?,objective,"A: State management, B: Routing, C: Styling, D: Testing",A,Moderate
20,The _____ principle states that a class should have only one reason to change.,fill_blank,,Single Responsibility,Complex

